JobTitle,JobVolunteerExperience,RequiredExperienceMonths,PreferredExperienceMonths,JobVolunteerEducation,WeeklyWorkdays,Workdays,JobPayment,MinMonthlyPayment,MaxMonthlyPayment,JobContractType,JobBenefits,CompanyName,CompanyIndustry,CompanySize,CompanyLocation
단순 포장반직원 모집합니다 ,신입,,,학력무관,주 5일 근무,5,월급 210만원 ~ 230만원,2100000.0,2300000.0,기간 무정함,기숙사제공 식사제공(1식) 자녀학자금지원,주식회사 농생우창,사료 도매업,중소기업,충청북도   진천군  이월면 월촌1길 173-13
단순포장 및 락크작업 ,관계없음,,,학력무관,주 5일 근무,5,월급 206만원 ~ 230만원,2060000.0,2300000.0,기간 무정함,식사제공(중식비지급),제이비(주),"도금, 착색 및 기타 표면처리강재 제조업",중소기업,"인천광역시   남동구  남동대로155번길 56, 제이비(주) (고잔동)"
육류 가공 식당납품 ,관계없음,,,학력무관,주 5일 근무,5,월급 280만원 ~ 300만원,2800000.0,3000000.0,기간 무정함,식사제공(1식),유안축산,육류 가공식품 도매업,,"경기도   안산시  상록구 장하로 94, 1층 (장하동)"
[이천시 가좌리] 신축빌라 공사현장 잡역부 모집 ,경력 (최소 1년 0 개월 이상) 우대,,12,학력무관,주 6일 근무,6,월급 350만원 ~ 350만원,3500000.0,3500000.0,기간 무정함,식사제공(중식비지급),주식회사에스알종합건설,단독 주택 건설업,중소기업,경기도   이천시  부발읍 가좌로 42
생산직 채용(당사 제품 생산) 외국인 우대 ,관계없음,,,학력무관,주 5일 근무,5,월급 206만원 이상,2060000.0,,기간 무정함,기숙사제공 통근버스제공 차량유지비제공 식사제공(1식),(주)신화,구조용 금속 판제품 및 공작물 제조업,중소기업,충청남도   논산시  강경읍 농공단지로 22
목포여성인권지원센터 활동가 채용 공고 ,관계없음,,,학력무관,주 5일 근무,5,월급 216만원 ~ 216만원,2160000.0,2160000.0,기간 정함,,목포여성인권지원센터,그 외 기타 비거주 복지 서비스업,,"전라남도   목포시  용당로 151, 2층 (용당동)"
인사/총무 신입 및 경력 모집 ,관계없음,,,고졸 ~ 대졸(4년),주 5일 근무,5,"연봉 3,000만원 이상",2500000.0,,기간 무정함,식사제공(2식),유한회사 아이케이일렉트릭,전동기 및 발전기 제조업,중소기업,"경기도   화성시  장안면 화곡로 195, 아이케이일렉트릭"
생산직 채용모집 (당사 제품 생산) 외국인 우대 ,신입,,,학력무관,주 5일 근무,5,월급 206만원 이상,2060000.0,,기간 무정함,기숙사제공 식사제공(1식),주식회사 가나,"금속 문, 창, 셔터 및 관련제품 제조업",중소기업,"강원특별자치도   홍천군  홍천읍 영서로 2119, 1층"
생산직 직원 채용 ,관계없음,,,학력무관,주 5일 근무,5,월급 206만원 이상,2060000.0,,기간 무정함,식사제공(1식),(주) 경원티엔씨,구조용 금속 판제품 및 공작물 제조업,중소기업,충청북도   청주시  서원구 현도면 시목외천로 247-43
떡 제조 보조원 ,관계없음,,,학력무관,주 6일 근무,6,월급 220만원 ~ 250만원,2200000.0,2500000.0,기간 무정함,,낙원떡집,떡류 제조업,,"충청북도   제천시  풍양로 109, 1층 (중앙로1가)"
식육포장 처리 직원 모집 ,경력 (최소 1년 12 개월 이상) 우대,,24,학력무관,주 5일 근무,5,월급 300만원 ~ 380만원,3000000.0,3800000.0,기간 무정함,식사제공(1식),(주)정성미트,육류 기타 가공 및 저장처리업 (가금류 제외),중소기업,경기도   광주시  곤지암읍 내선길 176-11
제품생산 작업자 모집 ,관계없음,,,학력무관,주 5일 근무,5,"연봉 2,500만원 ~ 3,000만원",2083333.0,2500000.0,기간 무정함,식사제공(1식),주식회사피앤에스텍,그 외 기타 전자부품 제조업,중소기업,경기도   화성시  향남읍 토성로 362-31  (ADM)
생산직 사원 ,신입,,,학력무관,주 5일 근무,5,"시급 9,860원 ~ 9,870원",1577600.0,1579200.0,기간 무정함(파트타임),식사제공(1식),우림산업(주)연기지점,복합비료 및 기타 화학비료 제조업,,세종특별자치시     연서면 와룡로 497-19
제조회사 현장근무 ,관계없음,,,학력무관,주 5일 근무,5,월급 260만원 ~ 270만원,2600000.0,2700000.0,기간 무정함,기숙사제공 차량유지비제공 식사제공(2식),태일화학주식회사,기타 인쇄업,중소기업,경기도   안성시  양성면 만세로 786
"현장직(정규직), 운전가능하신분(준설차) 채용 ",관계없음,,,학력무관,주 5일 근무,5,월급 250만원 이상,2500000.0,,기간 무정함,기숙사제공 차량유지비제공 식사제공(2식),주식회사 제이에이치건설,환경설비 건설업,중소기업,"경기도   성남시  수정구 위례서일로 34  (창곡동, 성희프라자)"
MCT 직원모집 외국인 가능 ,신입,,,학력무관,주 5일 근무,5,월급 300만원 이상,3000000.0,,기간 무정함,식사제공(2식),주식회사은까리,그 외 기타 분류 안된 금속 가공 제품 제조업,중소기업,경기도   화성시  정남면 내향로 176
[크린토피아 안성지사 ] 직원모집 ,관계없음,,,학력무관,주 6일 근무,6,"연봉 3,480만원 이상",2900000.0,,기간 무정함,식사제공(1식),크린토피아안성지사,가정용 세탁업,중소기업,경기도   안성시  공도읍 문터길 22-8
성화전기 생산직모집 - 모터제작 권선사상 및 결선 ,관계없음,,,학력무관,주 5일 근무,5,"시급 9,860원 이상",1577600.0,,기간 무정함,기숙사제공 식사제공(1식),성화전기,"전자코일, 변성기 및 기타 전자 유도자 제조업",중소기업,경기도   안산시  단원구 산단로163번길 135
기계 및 재료 분야 단순 종사원(용접 등) ,관계없음,,,학력무관,주 5일 근무,5,"시급 9,860원 이상",1577600.0,,기간 무정함,,주식회사 백제중공업,건설 및 채광용 기계장비 제조업,,전북특별자치도   김제시  백산면 자유무역길 81
사단법인 승리다문화비전센터 간사 모집 ,관계없음,,,학력무관,주 6일 근무,6,"연봉 3,460만원 ~ 3,460만원",2883333.0,2883333.0,기간 정함,식사제공(1식),대한예수교장로회 승리교회,종교 단체,,"경기도   고양시  일산서구 송산로 486-30, 승리다문화교회 비전센터 (덕이동)"
